id,Price
188533,16594.426456646062
188534,74440.91596988519
188535,54795.66235764846
188536,22212.58602767131
188537,30129.645888690335
188538,16743.015650573034
188539,11546.230564380661
188540,43541.326688332054
188541,88151.60545958093
188542,31267.276245160294
188543,60612.58492538254
188544,12262.118593335546
188545,53927.89490772652
188546,107981.93562187365
188547,21478.21620779123
188548,127912.76009942708
188549,23498.87986038332
188550,9746.419883068857
188551,84407.81882493939
188552,53485.10406141427
188553,70784.2550869093
188554,20292.248393944366
188555,32000.910843427213
188556,21795.260666657894
188557,21083.96514096261
188558,69694.08723475145
188559,27562.39335403456
188560,16135.673604543166
188561,83172.173322403
188562,23274.794278620182
188563,94920.89342552894
188564,48217.84527502344
188565,42669.336957573134
188566,29748.607960614954
188567,13414.287830181913
188568,50404.057327123686
188569,18012.091761593583
188570,17948.59470203094
188571,37843.38764898311
188572,99333.08952441909
188573,26786.29245286107
188574,36457.19641560001
188575,42458.03848392311
188576,32752.728762632905
188577,10317.827330803726
188578,37474.39039422981
188579,37367.615086930375
188580,38576.48236584725
188581,87152.06093779634
188582,24569.83480897322
188583,88637.77821019305
188584,34943.68401228871
188585,37571.850510757664
188586,30858.031682268032
188587,56000.5065531169
188588,26317.106832391106
188589,17099.944642237777
188590,32328.42307004793
188591,27244.736408315515
188592,36829.4406190709
188593,27232.387955676597
188594,70529.7397530533
188595,25547.217896904585
188596,54790.56555799925
188597,25357.5000091612
188598,26463.036696759456
188599,13421.814407946324
188600,57506.652757357435
188601,56281.68129431741
188602,35039.90588179525
188603,140344.12712987157
188604,10680.167274553916
188605,33607.11864916988
188606,36538.61334130363
188607,57791.855101756155
188608,13385.774756587693
188609,53773.204135000036
188610,43599.951818269226
188611,18688.391653026425
188612,64627.654959701824
188613,21805.784420975746
188614,16919.70188271033
188615,33267.06969206494
188616,92475.30073122797
188617,45030.246659458324
188618,27054.420342100213
188619,84598.75482265427
188620,26194.25439818557
188621,24371.756304237297
188622,71342.84307087753
188623,55652.558109116595
188624,42657.18163624019
188625,27163.388820411816
188626,16771.67703995096
188627,124670.31645309018
188628,89461.95036299422
188629,29694.59515658222
188630,25626.30769145408
188631,57150.438693937176
188632,54725.91980386045
188633,53485.10406141427
188634,9671.04920895196
188635,27248.81406041932
188636,52396.04817056176
188637,9896.697725567892
188638,41697.5388600727
188639,25565.663207460017
188640,11585.711240167684
188641,23869.556856458392
188642,15554.508004482981
188643,77232.642684932
188644,89875.31685934497
188645,62035.90724125795
188646,12205.220307199228
188647,30261.31789243268
188648,26584.671937600193
188649,42489.920781075794
188650,98830.74718773073
188651,50374.45745856062
188652,70982.90338329281
188653,60827.45269333037
188654,12220.33451447237
188655,19718.666225640867
188656,26114.496329674577
188657,36726.774717099535
188658,10219.657396073133
188659,60640.59390503588
188660,10575.610680023678
188661,99419.86751251467
188662,9566.56393439073
188663,15449.132269760536
188664,86573.03364445629
188665,103384.57669113923
188666,27227.86080733277
188667,12229.497194170406
188668,15951.506171928715
188669,28027.475648401938
188670,65935.9072094969
188671,23353.377087344445
188672,28646.892803727027
188673,58636.25529371302
188674,13044.60033882906
188675,36694.830842014904
188676,48319.1242794372
188677,9951.728040077965
188678,33687.85662340871
188679,29826.286811378548
188680,87367.95513367391
188681,13063.465637285839
188682,15324.98464970403
188683,12286.176707625556
188684,70651.23318069881
188685,53444.37019977592
188686,105212.64241936126
188687,23203.186013655006
188688,37034.337913274816
188689,12895.583390745089
188690,40462.920453514715
188691,51013.898831535385
188692,34948.154593685984
188693,12992.128639063743
188694,14630.099291011797
188695,21227.25636245921
188696,68232.83375013407
188697,26132.666771297037
188698,15843.651969495002
188699,60356.85359277638
188700,118070.7705150453
188701,25863.338449097515
188702,14489.339295650278
188703,83754.59075608404
188704,54042.760465012245
188705,28162.729621636216
188706,108811.10119855432
188707,10729.324707025404
188708,15621.758825062854
188709,13079.982067769515
188710,20698.70417861858
188711,28752.675056435237
188712,66590.7882141519
188713,31577.514458638456
188714,19471.75196460771
188715,42238.11285668744
188716,93095.89720795226
188717,12215.589281979594
188718,16298.304432311956
188719,27105.856044210283
188720,17122.91548715876
188721,68758.33783981294
188722,55015.1986232517
188723,21140.746713159715
188724,27569.805499445232
